policy_id,policyholder_name,street_number,street_name,unit,city,state,zip,injected_error
POL-000308,Stacey Arias,116,SE LORENZ DR,,Ankeny,IA,50021,clean
POL-000309,James Miller,714,CLEVELADN ST,Suite 068,Clearwater,FL,33755,misspelling
POL-000310,Fernando Garcia,89962,BOULDER ST,,Denver,CO,80211,outdated_address
POL-000311,Ronald Horton,63,CANAL ST,Suite 220,Landing,NJ,07850,clean
POL-000312,Bobby Scott,519,17THS T,Apt. 779,Des Moines,IA,50309,misspelling
POL-000313,Kimberly Acosta,343,E CHURCH ST,,Jacksonville,FL,32202,missing_unit
POL-000314,Ashley Roberts,511,28TH ST,,Des Moines,IA,50312,clean
POL-000315,Anthony Barnes,68302,BRACKLAND ST,,Jacksonville,FL,32206,outdated_address
POL-000316,Joyce Rodriguez,145,UNIVERSITY AVE,,Des Moines,IA,50314,missing_unit
POL-000317,Linda Smith,665,NW 1 4ST,,Miami,FL,33136,misspelling
POL-000318,Harry Duncan,1499,BLAKE ST,,Denver,CO,80202,missing_unit
POL-000319,Joseph Romero,2635,JUNIPER AVE,Apt. 185,Boulder,CO,80304,clean
POL-000320,Veronica King,1035,PAERL ST,Apt. 670,Boulder,CO,80302,misspelling
POL-000321,Richard Cooper,1012,E 4TH AVE,,Denver,CO,80218,clean
POL-000322,Lori Ingram,343,E CHURCH ST,,Jacksonville,FL,32202,missing_unit
POL-000323,Robin Thompson,509,AVENUE OF THE AMERICAS,Suite 205,New York,NY,10011,clean
POL-000324,Ricardo Ellis,1745,BOULDER ST,Suite 722,Denver,CO,80211,clean
POL-000325,Andrew Gonzalez,407,3RD AVE,,New York,NY,10016,clean
POL-000326,Robert Kennedy,1940,BLAKE ST,Apt. 548,Denver,CO,80202,clean
POL-000327,Amber Rios,88870,N ORANGE AVE,Apt. 345,Orlando,FL,32801,outdated_address
POL-000328,Robert Kim,1159,NW S1T PL,,Miami,FL,33136,misspelling
POL-000329,Jeremiah Huber,55,SE 6TH ST,,Miami,FL,33131,missing_unit
POL-000330,Cody Holt,110,WELLESLEY TRL,,Hopatcong,NJ,07843,clean
POL-000331,Robert Adams,1159,NW 1ST PL,,Miami,FL,33136,clean
POL-000332,Samantha Gardner,175,COLUMBIA HTS,Apt. 616,Brooklyn,NY,11201,clean
POL-000333,Bobby Guerrero,6009,CRESTON AVE,,Des Moines,IA,50321,missing_unit
POL-000334,Lance Simmons,55458,NW 11TH ST,,Miami,FL,33136,outdated_address
POL-000335,Heather Williams,63,CANAL ST,,Landing,NJ,07850,missing_unit
POL-000336,Heather Bolton,3705,CANFIELD ST,,Boulder,CO,80301,clean
POL-000337,William Gould,509,AVENUE OF THEA MERICAS,,New York,NY,10011,misspelling
POL-000338,Meghan Cisneros,36,E JACKOSN ST,Apt. 658,Orlando,FL,32801,misspelling
POL-000339,Lawrence Harrington,1100,13TH ST,,Boulder,CO,80302,missing_unit
POL-000340,Austin Osborne,747,NW 13TH AVE,,Miami,FL,33125,clean
POL-000341,James Bradley,90749,BELL AVE,,Hopatcong,NJ,07843,outdated_address
POL-000342,Billy Taylor,3327,NE RENAISSANCE DR,Apt. 755,Ankeny,IA,50021,clean
POL-000343,Brian Fitzgerald,3250,ONEAL CIR,Suite 654,Boulder,CO,80301,clean
POL-000344,Reginald Padilla,61795,JUNIPER AVE,Suite 868,Boulder,CO,80304,outdated_address
POL-000345,Logan Benson,900,OAK ST,,Plant City,FL,32804,zip_city_mismatch
POL-000346,Jodi Roach,2,BILLINGS RD,Suite 312,Hopatcong,NJ,07843,clean
POL-000347,Krista Roberts,39,LAUREL TRL,Suite 155,Wharton,NJ,07843,zip_city_mismatch
POL-000348,Christopher Mckinney,1505,S MCDONALD ST,,Plant City,FL,33563,clean
POL-000349,Carrie Ward,414,N SHANNON ESTATES CT,,Plant City,FL,33563,clean
POL-000350,William Conner,1260,GLENARM PL,,Denver,CO,80204,clean
